Level,Region,TaskType,Model,RMSE,sMAPE_percent,MASE
Series,RegionA,RealTimeInference,GBDT,26.848839299970585,77.57827880439375,0.7318319375237164
Series,RegionA,RealTimeInference,LastValue,25.004783107252514,73.87148016830182,0.6371832464789259
Series,RegionA,RealTimeInference,SeasonalMean,24.948907745333965,74.4205562592421,0.6651640080211304
Series,RegionA,BatchInference,GBDT,81.1268773872333,105.96292505832365,0.8872416347904284
Series,RegionA,BatchInference,LastValue,107.07952441345222,103.17590431474181,1.2706047325874188
Series,RegionA,BatchInference,SeasonalMean,84.62768913155382,103.67858358113293,0.8483360188094542
Series,RegionA,AITraining,GBDT,172.14575848611264,177.91759173756782,0.9147434291784717
Series,RegionA,AITraining,LastValue,154.1622851479474,191.39748409901205,0.4770141501785677
Series,RegionA,AITraining,SeasonalMean,184.41560176858334,146.65913510083985,0.7472746039072261
Series,RegionB,RealTimeInference,GBDT,17.45314782936398,67.79852101868839,0.5271369020525173
Series,RegionB,RealTimeInference,LastValue,21.980613301523483,96.76463020092022,0.6165831611960044
Series,RegionB,RealTimeInference,SeasonalMean,18.078605479412587,68.11809346679686,0.5592295533901556
Series,RegionB,BatchInference,GBDT,87.16775299772583,84.04640222415766,0.8965667111318506
Series,RegionB,BatchInference,LastValue,121.04625024788696,175.0,1.2157654147093662
Series,RegionB,BatchInference,SeasonalMean,100.21720938719041,101.73977867382382,1.0410034751434427
Series,RegionB,AITraining,GBDT,191.23961786066806,150.31452997495606,1.081164894282987
Series,RegionB,AITraining,LastValue,257.9954964122077,146.44992214694324,1.6127297753828862
Series,RegionB,AITraining,SeasonalMean,190.70903235858586,157.6577192208923,1.0307684270016242
Series,RegionC,RealTimeInference,GBDT,23.594528127785402,82.83898150663443,0.7356511774929726
Series,RegionC,RealTimeInference,LastValue,22.990850887625648,104.78697069807848,0.6714347640136628
Series,RegionC,RealTimeInference,SeasonalMean,27.03592983526946,94.6992046453969,0.8057406478029046
Series,RegionC,BatchInference,GBDT,48.405705978240874,112.10889609886377,0.6260513654017176
Series,RegionC,BatchInference,LastValue,52.24582308752148,141.47966515748405,0.6028163221958303
Series,RegionC,BatchInference,SeasonalMean,43.50228844318697,117.56310301969775,0.6052654437979265
Series,RegionC,AITraining,GBDT,109.73842251984543,150.35149859119855,0.6164447100779102
Series,RegionC,AITraining,LastValue,118.32565560969,66.66666666666666,0.42593924010350864
Series,RegionC,AITraining,SeasonalMean,138.46296492886827,139.24444894381176,0.7193480876440007
Series,RegionD,RealTimeInference,GBDT,7.275008836338168,175.0415310253797,1.0269968266653902
Series,RegionD,RealTimeInference,LastValue,7.44499738825415,50.0,0.6454371379123323
Series,RegionD,RealTimeInference,SeasonalMean,8.188626151622065,98.67184548210713,0.9485585547999499
Series,RegionD,BatchInference,GBDT,75.24636401308386,93.3942938950907,0.8459128579272632
Series,RegionD,BatchInference,LastValue,112.01943960553025,158.33333333333331,1.1311020758010648
Series,RegionD,BatchInference,SeasonalMean,100.81837568249749,107.20843035373369,1.0873640779547988
Series,RegionD,AITraining,GBDT,483.785644856076,87.65567216828953,0.7515042739252832
Series,RegionD,AITraining,LastValue,612.0641413298542,153.36103936237018,0.8247097060552763
Series,RegionD,AITraining,SeasonalMean,488.7283751491476,87.51160936745852,0.7390060498617289
Series,RegionE,RealTimeInference,GBDT,8.149110267225653,170.03895292462232,0.8674105172740024
Series,RegionE,RealTimeInference,LastValue,8.327453481195887,58.333333333333336,0.5682762812963033
Series,RegionE,RealTimeInference,SeasonalMean,9.21755857370436,95.4047425304221,0.7970264554284918
Series,RegionE,BatchInference,GBDT,67.09637291189847,98.39398871015703,0.8876554637021631
Series,RegionE,BatchInference,LastValue,72.02742525195472,93.94732234924005,1.1518456113366105
