特征,中文名,VIF
RBC,红细胞计数,57.19273633265785
NEUT_pct,中性粒细胞%,38.96587403244295
BUN,尿素,21.435039607533035
ALP,*碱性磷酸酶,17.032899419954965
age,年龄,15.02230581105605
ALT,*丙氨酸氨基转换酶,3.2290477014725627
TG,甘油三酯,2.460074386326704
