特征,中文名,系数,p值
age,年龄,0.028904204890064258,6.652437700614791e-77
gender_male,gender_male,0.36688234550001236,3.969304964757751e-14
TG,甘油三酯,0.18649995223940022,4.0907812617626194e-52
ALT,*丙氨酸氨基转换酶,0.007122786564350192,3.177915626496002e-13
BUN,尿素,0.09854095157943589,1.6029030475403297e-08
UA,尿酸,-0.0024873999031634277,7.36493062432536e-19
MCV,红细胞平均体积,-0.0430212065468168,2.394730121613472e-18
RDW,红细胞体积分布宽度,-0.16331291442349202,1.457082352539196e-14
WBC,白细胞计数,0.06046644555539735,3.217116162069257e-07
