特征,中文名,系数,|系数|
age,年龄,0.3064087155283284,0.3064087155283284
TG,甘油三酯,0.2877512145647226,0.2877512145647226
ALT,*丙氨酸氨基转换酶,0.1089513632427103,0.1089513632427103
BUN,尿素,0.10239375538195111,0.10239375538195111
RBC,红细胞计数,0.09985143555379784,0.09985143555379784
NEUT_pct,中性粒细胞%,0.08242887669394512,0.08242887669394512
ALP,*碱性磷酸酶,0.07524405900544637,0.07524405900544637
