数据集,准确率,灵敏度(Sensitivity),特异度(Specificity),精确率(Precision),F1分数
训练集,0.8979678238780694,0.08057851239669421,0.9912735849056604,0.5131578947368421,0.13928571428571426
测试集,0.9153259949195597,0.09375,0.9880184331797235,0.4090909090909091,0.15254237288135591
