变量,中文名,系数(B),标准误(SE),t值,p值,95%CI_lower,95%CI_upper
const,截距,2.6864169078024838,0.18479831693163773,14.537020425333568,4.563124436488998e-47,2.324144530942332,3.0486892846626357
age,年龄,0.026174565384088758,0.0015083450535634177,17.353168177435375,7.873210476407658e-66,0.023217656702491766,0.02913147406568575
TG,甘油三酯,0.18148600375824284,0.01216353585809467,14.920497285948834,1.9165654748757823e-49,0.15764101902298824,0.20533098849349743
BUN,尿素,0.08577868851243205,0.017195513147485353,4.988434353584627,6.261423736014946e-07,0.05206918551098444,0.11948819151387965
HGB,血红蛋白,0.005715858677561895,0.0012405861814358684,4.6073854143259085,4.1634133421988835e-06,0.003283855442300349,0.008147861912823441
ALT,*丙氨酸氨基转换酶,0.005658677425499127,0.0009762917030367165,5.79609291761677,7.139028247193695e-09,0.0037447881561569474,0.007572566694841307
