指标,训练集,测试集
R²,0.17159603867752948,0.09471895605387781
调整R²,0.17001444435171242,
RMSE,,1.5823522206661054
MAE,,0.7497462159619024
MAPE(%),,12.01015428289705
AIC,16314.750587217652,
BIC,16379.354698990825,
