SourceRegion,AITraining,BatchInference,RealTimeInference,All
RegionA,214319.28333333333,154341.45,79791.71666666666,448452.45
RegionB,212294.63333333333,151260.43333333332,67203.08333333333,430758.15
RegionC,198331.96666666667,117897.36666666667,58704.95,374934.2833333333
RegionD,1387122.6833333333,155177.2,6558.55,1548858.4333333333
RegionE,978535.1166666667,100158.33333333333,9054.766666666666,1087748.2166666666
RegionF,1032935.0333333333,90263.01666666666,6837.066666666667,1130035.1166666667
All,4023538.716666667,769097.8,228150.13333333333,5020786.65
