SourceRegion,AITraining,BatchInference,RealTimeInference,All
RegionA,34291.085333333336,15434.145,6383.337333333334,56108.56766666667
RegionB,33967.14133333333,15126.043333333335,5376.246666666667,54469.431333333334
RegionC,31733.11466666667,11789.736666666668,4696.396,48219.24733333333
RegionD,221939.62933333335,15517.720000000001,524.684,237982.03333333333
RegionE,156565.61866666668,10015.833333333334,724.3813333333334,167305.83333333334
RegionF,165269.60533333334,9026.301666666666,546.9653333333333,174842.87233333333
All,643766.1946666667,76909.78,18252.010666666665,738927.9853333334
