变量,所属功能组,流感组中位数,健康组中位数,流感组IQR,健康组IQR,Mann-Whitney U,原始p值,Cliff's delta,单变量AUC,AUC强度,方向,组内FDR校正p值,全局BH校正p值,潜力评级
WBC,免疫防御与感染鉴别,6.555,5.65,2.635,0.9624999999999995,16082.0,0.00038908892696916484,0.2994505494505495,0.6497252747252747,0.6497252747252747,↑,0.00038908892696916484,0.0005928670511961537,低
N,免疫防御与感染鉴别,4.715,3.1,2.47,1.1499999999999995,19630.0,3.8118513367946885e-12,0.5861344537815125,0.7930672268907564,0.7930672268907564,↑,5.082468449059585e-12,1.1435554010384066e-11,高
L,免疫防御与感染鉴别,0.91,1.925,0.555,0.7075,2148.5,1.2314330543637626e-22,-0.8263978668390433,0.08680106658047834,0.9131989334195216,↓,4.925732217455051e-22,1.1082897489273864e-21,高
M,免疫防御与感染鉴别,0.66,0.345,0.3024999999999999,0.1225,22521.0,2.6665504773177003e-22,0.8197317388493859,0.9098658694246929,0.9098658694246929,↑,5.333100954635401e-22,1.1999477147929652e-21,高
