变量,VIF
年龄,1.2012901694959865
WBC,1.0084786012546045
N,1.2828623870158569
L,1.2591462958738955
M,1.2304080781240319
RBC,3.26577250461643
HB,3.411380473160346
PLT,1.3045936600252386
RDW,1.2270382649364482
