,年龄,WBC,N,L,M,RBC,HB,PLT,RDW
年龄,1.0,-0.028590733301390378,-0.053459572394774314,0.14200162560359628,-0.15767789156417605,-0.19545024848584117,-0.09574484565815053,-0.19865968825621622,0.2664428322166054
WBC,-0.028590733301390378,1.0,0.906263354599123,0.07113473190483928,0.5025515248351374,0.26711446765434627,0.2560446234861825,0.29712617553787635,0.00970883793221258
N,-0.053459572394774314,0.906263354599123,1.0,-0.2551588637628186,0.38648267020983446,0.18484961533325778,0.1618651473755242,0.21789852333743173,-0.004969197291261028
L,0.14200162560359628,0.07113473190483928,-0.2551588637628186,1.0,0.11808279435693393,0.1679438332997447,0.19866550931461532,0.2231518618663378,0.05042253754497719
M,-0.15767789156417605,0.5025515248351374,0.38648267020983446,0.11808279435693393,1.0,0.2926465828082507,0.25326959625133094,0.13872823571850756,-0.054433156975997425
RBC,-0.19545024848584117,0.26711446765434627,0.18484961533325778,0.1679438332997447,0.2926465828082507,1.0,0.8306156385340839,0.12342134856628494,-0.1088850498270744
HB,-0.09574484565815053,0.2560446234861825,0.1618651473755242,0.19866550931461532,0.25326959625133094,0.8306156385340839,1.0,-0.004483226612517211,-0.3489994365743049
PLT,-0.19865968825621622,0.29712617553787635,0.21789852333743173,0.2231518618663378,0.13872823571850756,0.12342134856628494,-0.004483226612517211,1.0,0.08597479242109676
RDW,0.2664428322166054,0.00970883793221258,-0.004969197291261028,0.05042253754497719,-0.054433156975997425,-0.1088850498270744,-0.3489994365743049,0.08597479242109676,1.0
