组,label,变量,n,中位数,Q1,Q3,IQR,偏度,均值,标准差
流感A组,1,年龄,476,31.0,25.0,46.0,21.0,1.018840300196664,37.65126050420168,17.230823619847964
流感A组,1,WBC,476,6.555,5.3675,8.0025,2.635,0.8380110098983912,6.87438025210084,2.1784152579700153
流感A组,1,N,476,4.715,3.7425,6.2125,2.47,3.1673066608729106,5.1236974789915966,2.340630455976821
流感A组,1,L,476,0.91,0.67,1.225,0.555,1.4577538945906303,1.0203361344537816,0.5317596335078421
流感A组,1,M,476,0.66,0.5175000000000001,0.82,0.3024999999999999,0.8601758811874328,0.6876050420168066,0.251736996205832
流感A组,1,RBC,476,4.65,4.325,5.0024999999999995,0.6774999999999993,0.14532435482821277,4.66953781512605,0.5059841859799006
流感A组,1,HB,476,136.0,127.75,148.0,20.25,-0.2159145324328268,136.83823529411765,14.988595251593763
流感A组,1,PLT,476,206.5,173.0,243.0,70.0,0.7419315344836159,210.71218487394958,55.32445103925771
流感A组,1,RDW,476,12.4,12.0,13.0,1.0,2.5291346529170955,12.685084033613446,1.1473209954531887
健康组,0,年龄,52,43.0,35.0,46.25,11.25,0.4513754937556484,42.28846153846154,9.36061112983452
健康组,0,WBC,52,5.65,5.1425,6.1049999999999995,0.9624999999999995,1.0949486489104352,5.858653846153847,1.3115729650057357
健康组,0,N,52,3.1,2.6750000000000003,3.8249999999999997,1.1499999999999995,1.1078954307016229,3.3230769230769233,0.967636170609956
健康组,0,L,52,1.925,1.6225,2.33,0.7075,0.6028448871663403,2.0025,0.5267021891718615
健康组,0,M,52,0.345,0.28,0.4025,0.1225,0.6783937587160491,0.3542307692307692,0.10082689794105683
健康组,0,RBC,52,4.5649999999999995,4.3375,4.85,0.5124999999999993,1.0743348562424238,4.642884615384616,0.41946902261685937
健康组,0,HB,52,138.0,129.75,145.25,15.5,-0.04038190363975943,137.28846153846155,14.831519878301497
健康组,0,PLT,52,231.5,204.25,263.5,59.25,0.35610384094645786,233.15384615384616,44.361432028099706
健康组,0,RDW,52,12.8,12.5,13.3,0.8000000000000007,2.8769232004844585,13.075,1.2260049899140368
