指标1,指标2,假设,流感A组Spearman_r,流感A组p值,健康组Spearman_r,健康组p值,全样本Spearman_r,全样本p值,是否支持|r|>0.6
RBC,HB,H1/H6氧气运输结构,0.8346852605192391,2.1222696405681524e-125,0.770906200651549,2.3065984976828267e-11,0.8306156385340839,2.338064154094764e-136,True
WBC,N,H6免疫结构,0.9175957403992122,7.803431474126876e-193,0.802493922875772,8.466303102568539e-13,0.906263354599123,1.3656953670988444e-199,True
