变量,所属功能组,流感组中位数,健康组中位数,流感组IQR,健康组IQR,Mann-Whitney U,原始p值,Cliff's delta,单变量AUC,AUC强度,方向,组内FDR校正p值,全局BH校正p值,潜力评级
年龄,基本信息,31.0,43.0,21.0,11.25,8340.5,0.00011139632588550032,-0.3260746606334841,0.33696266968325794,0.6630373303167421,↓,0.00011139632588550032,0.00025064173324237574,低
WBC,免疫防御与感染鉴别,6.555,5.65,2.635,0.9624999999999995,16082.0,0.00038908892696916484,0.2994505494505495,0.6497252747252747,0.6497252747252747,↑,0.00038908892696916484,0.0005928670511961537,低
N,免疫防御与感染鉴别,4.715,3.1,2.47,1.1499999999999995,19630.0,3.8118513367946885e-12,0.5861344537815125,0.7930672268907564,0.7930672268907564,↑,5.082468449059585e-12,1.1435554010384066e-11,高
L,免疫防御与感染鉴别,0.91,1.925,0.555,0.7075,2148.5,1.2314330543637626e-22,-0.8263978668390433,0.08680106658047834,0.9131989334195216,↓,4.925732217455051e-22,1.1082897489273864e-21,高
M,免疫防御与感染鉴别,0.66,0.345,0.3024999999999999,0.1225,22521.0,2.6665504773177003e-22,0.8197317388493859,0.9098658694246929,0.9098658694246929,↑,5.333100954635401e-22,1.1999477147929652e-21,高
RBC,氧气运输与贫血诊断,4.65,4.5649999999999995,0.6774999999999993,0.5124999999999993,13052.0,0.5178288845655499,0.054621848739495826,0.5273109243697479,0.5273109243697479,↑,0.7767433268483248,0.5825574951362436,低
HB,氧气运输与贫血诊断,136.0,138.0,20.25,15.5,12340.0,0.9728817624373174,-0.0029088558500323103,0.49854557207498384,0.5014544279250162,↓,0.9728817624373174,0.9728817624373174,低
PLT,凝血与止血,206.5,231.5,70.0,59.25,8917.5,0.0009312169974827631,-0.27945216548157725,0.36027391725921143,0.6397260827407886,↓,0.0009312169974827631,0.0011972789967635525,低
RDW,氧气运输与贫血诊断,12.4,12.8,1.0,0.8000000000000007,8678.5,0.0003952447007974358,-0.2987637362637363,0.3506181318681319,0.6493818681318682,↓,0.0011857341023923074,0.0005928670511961537,低
