,年龄,WBC,N,L,M,RBC,HB,PLT,RDW
年龄,1.0,0.010525777739165293,0.008121536840789811,0.08887033328784118,-0.10048631669567791,-0.2009728126008892,-0.1108306406798787,-0.22898724503057763,0.2553112699385638
WBC,0.010525777739165293,1.0,0.9175957403992122,0.1325392941288402,0.485854116812331,0.2683935274105448,0.26970801067980127,0.3219200018010344,0.040355359424980634
N,0.008121536840789811,0.9175957403992122,1.0,-0.1566387391843078,0.29551471795496664,0.1856683092769176,0.1807470752320898,0.2699992034809566,0.04370736530436516
L,0.08887033328784118,0.1325392941288402,-0.1566387391843078,1.0,0.36253228331968945,0.21120779934955802,0.23408175585740681,0.17746807425750802,-0.014199070295630752
M,-0.10048631669567791,0.485854116812331,0.29551471795496664,0.36253228331968945,1.0,0.3168592248047103,0.294987371669374,0.2230765529144023,0.012768730365495355
RBC,-0.2009728126008892,0.2683935274105448,0.1856683092769176,0.21120779934955802,0.3168592248047103,1.0,0.834685260519239,0.14192258324274956,-0.1218855406259169
HB,-0.1108306406798787,0.26970801067980127,0.1807470752320898,0.23408175585740681,0.294987371669374,0.834685260519239,1.0,0.009505972310576089,-0.3588970212465676
PLT,-0.22898724503057763,0.3219200018010344,0.2699992034809566,0.17746807425750802,0.2230765529144023,0.14192258324274956,0.009505972310576089,1.0,0.0700004760254837
RDW,0.2553112699385638,0.040355359424980634,0.04370736530436516,-0.014199070295630752,0.012768730365495355,-0.1218855406259169,-0.3588970212465676,0.0700004760254837,1.0
