指标,Mann-Whitney U,p值,Cliff's delta,单变量AUC,AUC强度,BH校正p值
N,19710.0,3.8364022360176966e-12,0.5859349855165754,0.7929674927582877,0.7929674927582877,3.8364022360176966e-12
L,2152.5,1.1507285639184939e-22,-0.8268023817186997,0.08659880914065014,0.9134011908593499,2.3014571278369877e-22
M,22606.5,2.8466884117739507e-22,0.8189974251689733,0.9094987125844867,0.9094987125844867,4.2700326176609255e-22
NLR,23193.0,1.0225054012477165e-24,0.8661892500804635,0.9330946250402318,0.9330946250402318,3.0675162037431495e-24
MLR,24601.0,3.8107020750556456e-31,0.9794818152558737,0.989740907627937,0.989740907627937,2.2864212450333872e-30
PLR,21449.0,7.88945234576125e-18,0.7258609591245575,0.8629304795622786,0.8629304795622786,9.4673428149135e-18
