,年龄,WBC,N,L,M,RBC,HB,PLT,RDW
年龄,1.0,-0.24280035469621059,-0.20241562465028068,-0.30349655420950084,-0.1887467215526182,-0.017534875516752348,0.1890075915724626,-0.25688044146542194,0.014823066058520261
WBC,-0.24280035469621059,1.0,0.802493922875772,0.705862266155204,0.487618031831605,0.1430370844946731,0.14318383599414788,0.29949618110002896,-0.08643970393737946
N,-0.20241562465028068,0.802493922875772,1.0,0.22964936150388132,0.3325130075239221,0.17025207237870815,0.16975925787663596,0.30831602826112336,-0.19573320271308994
L,-0.30349655420950084,0.705862266155204,0.22964936150388132,1.0,0.41711737347965233,0.04080281841433974,0.0017096215802010744,0.23806473652745752,0.10112302631082878
M,-0.1887467215526182,0.487618031831605,0.3325130075239221,0.41711737347965233,1.0,0.13805193743140562,0.04590079782026578,0.3219789674787603,-0.02239158246921319
RBC,-0.017534875516752348,0.1430370844946731,0.17025207237870815,0.04080281841433974,0.13805193743140562,1.0,0.7709062006515491,-0.05997651330501326,0.10925284419804135
HB,0.1890075915724626,0.14318383599414788,0.16975925787663596,0.0017096215802010744,0.04590079782026578,0.7709062006515491,1.0,-0.22207984326811958,-0.306681330525851
PLT,-0.25688044146542194,0.29949618110002896,0.30831602826112336,0.23806473652745752,0.3219789674787603,-0.05997651330501326,-0.22207984326811958,1.0,0.12922701458756927
RDW,0.014823066058520261,-0.08643970393737946,-0.19573320271308994,0.10112302631082878,-0.02239158246921319,0.10925284419804135,-0.306681330525851,0.12922701458756927,1.0
