变量,所属功能组,流感组中位数,健康组中位数,流感组IQR,健康组IQR,Mann-Whitney U,原始p值,Cliff's delta,单变量AUC,AUC强度,方向,组内FDR校正p值,全局BH校正p值,潜力评级
RBC,氧气运输与贫血诊断,4.65,4.5649999999999995,0.6774999999999993,0.5124999999999993,13052.0,0.5178288845655499,0.054621848739495826,0.5273109243697479,0.5273109243697479,↑,0.7767433268483248,0.5825574951362436,低
HB,氧气运输与贫血诊断,136.0,138.0,20.25,15.5,12340.0,0.9728817624373174,-0.0029088558500323103,0.49854557207498384,0.5014544279250162,↓,0.9728817624373174,0.9728817624373174,低
RDW,氧气运输与贫血诊断,12.4,12.8,1.0,0.8000000000000007,8678.5,0.0003952447007974358,-0.2987637362637363,0.3506181318681319,0.6493818681318682,↓,0.0011857341023923074,0.0005928670511961537,低
