功能组,组内指标效应量绝对值均值,组内单变量AUC强度中位数
免疫防御与感染鉴别,0.6325032185387833,0.8512331026713872
凝血与止血,0.2804956549726424,0.6402478274863213
氧气运输与贫血诊断,0.11732914923291489,0.5280012874155133
