K,轮廓系数,模型
2,0.25779869367734765,Ward层次聚类
3,0.23655440351061657,Ward层次聚类
4,0.21519717730188812,Ward层次聚类
5,0.18185361340007733,Ward层次聚类
6,0.19148076529138813,Ward层次聚类
