Scenario,OperatingCost_CNY,CarbonEmission_tCO2,Objective_CNY,RenewableUtilization,GridPurchase_MWh,GridSell_MWh,Curtailment_MWh,MigratedTasks,MigrationRate,WeightedAverageLatency_ms,MaxLatency_ms,AverageFlexibleWait_h
SchemeA_RenewableFirst_NoMigration,-452925719.22014755,0.0,-452925719.22014755,0.6907342730955077,0.0,1464044.6829923433,3572256.7731608097,0,0.0,5.0,5.0,1.2472652963096527
SchemeB_CarbonAware,-453074317.8570525,0.0,-453074317.8570525,0.6909730942388538,0.0,1464718.6368019367,3569498.2054545498,28660,0.5732,37.49859478029536,82.0,30.897103017189565
lambda=0,-453074317.8570525,0.0,-453074317.8570525,0.6909730942388538,0.0,1464718.6368019367,3569498.2054545498,28660,0.5732,37.49859478029536,82.0,30.897103017189565
lambda=50,-453074317.8570525,0.0,-453074317.8570525,0.6909730942388538,0.0,1464718.6368019367,3569498.2054545498,28660,0.5732,37.49859478029536,82.0,30.897103017189565
lambda=100,-453074317.8570525,0.0,-453074317.8570525,0.6909730942388538,0.0,1464718.6368019367,3569498.2054545498,28660,0.5732,37.49859478029536,82.0,30.897103017189565
lambda=150,-453074317.8570525,0.0,-453074317.8570525,0.6909730942388538,0.0,1464718.6368019367,3569498.2054545498,28660,0.5732,37.49859478029536,82.0,30.897103017189565
lambda=200,-453074317.8570525,0.0,-453074317.8570525,0.6909730942388538,0.0,1464718.6368019367,3569498.2054545498,28660,0.5732,37.49859478029536,82.0,30.897103017189565
lambda=300,-453074317.8570525,0.0,-453074317.8570525,0.6909730942388538,0.0,1464718.6368019367,3569498.2054545498,28660,0.5732,37.49859478029536,82.0,30.897103017189565
lambda=500,-453074317.8570525,0.0,-453074317.8570525,0.6909730942388538,0.0,1464718.6368019367,3569498.2054545498,28660,0.5732,37.49859478029536,82.0,30.897103017189565
