变量,Mann-Whitney U,原始p值,Cliff's delta,BH-FDR校正p值,潜力分级
年龄,8405.5,0.00012477134828660393,-0.3236643064048922,0.0002807355336448588,待阈值确认
WBC,16135.0,0.0004089692104971146,0.298278081750885,0.0007361445788948062,待阈值确认
N,19710.0,3.8364022360176966e-12,0.5859349855165754,1.1509206708053091e-11,待阈值确认
L,2152.5,1.1507285639184939e-22,-0.8268023817186997,1.0356557075266446e-21,待阈值确认
M,22606.5,2.8466884117739507e-22,0.8189974251689733,1.2810097852982778e-21,待阈值确认
RBC,13124.0,0.5072051777376637,0.056002574831026664,0.5706058249548717,待阈值确认
HB,12395.0,0.975271326476317,-0.0026552944962986436,0.9752713264763169,待阈值确认
PLT,8942.0,0.0008886780644576811,-0.2804956549726424,0.0011425860828741614,待阈值确认
RDW,8782.5,0.0005024075747768045,-0.2933295783714194,0.0007536113621652066,待阈值确认
