Target,Feasible,Message,Scenario,OperatingCost_CNY,CarbonEmission_tCO2,Objective_CNY,GridPurchase_MWh,GridSell_MWh,Curtailment_MWh,DirectRenewable_MWh,RenewableCharge_MWh,GridCharge_MWh,Discharge_MWh,AvailableRenewable_MWh,RenewableUtilization,PeakNetGridImport_MW,MeanRegionalNetGridStd_MW,MaxRegionalNetGridStd_MW
0.33,True,,utilization=0.33,-459206011.6386329,0.0,-459206011.6386329,0.0,1491657.118480423,3521348.836030646,6352637.511697399,185124.8937915313,0.0,161829.39215255665,11550768.36,0.6951415935042917,0.0,1.0762443748417778,3.7376818199597523
0.35,True,,utilization=0.35,-459206011.6386329,0.0,-459206011.6386329,0.0,1491657.118480423,3521348.836030646,6352637.511697399,185124.8937915313,0.0,161829.39215255665,11550768.36,0.6951415935042917,0.0,1.0762443748417778,3.7376818199597523
0.4,True,,utilization=0.4,-459206011.6386329,0.0,-459206011.6386329,0.0,1491657.118480423,3521348.836030646,6352637.511697399,185124.8937915313,0.0,161829.39215255665,11550768.36,0.6951415935042917,0.0,1.0762443748417778,3.7376818199597523
0.45,True,,utilization=0.45,-459206011.6386329,0.0,-459206011.6386329,0.0,1491657.118480423,3521348.836030646,6352637.511697399,185124.8937915313,0.0,161829.39215255665,11550768.36,0.6951415935042917,0.0,1.0762443748417778,3.7376818199597523
0.5,True,,utilization=0.5,-459206011.6386329,0.0,-459206011.6386329,0.0,1491657.118480423,3521348.836030646,6352637.511697399,185124.8937915313,0.0,161829.39215255665,11550768.36,0.6951415935042917,0.0,1.0762443748417778,3.7376818199597523
